,AMZN_pred,GOOGL,IBM,MSFT,DEXJPUS,DEXUSUK,SP500,DJIA,VIXCLS,AMZN_DT,AMZN_3DT,AMZN_6DT,AMZN_12DT
2011-11-02,-0.020617326367893263,-0.0025445943576212215,0.010658921125063614,-0.02205445939007067,0.025830497049608603,0.004328875294089707,-0.0033065879556595235,-0.0027842151401813453,0.09207777983194454,0.08323241237843426,-0.09374054507285479,-0.07265927226296487,0.05006868713598589
2011-11-09,0.003638879562909203,0.027207684221795425,-0.005164395042298153,0.007278765979927382,-0.0034657630480587898,-0.0010021296091078935,-0.007134201316829625,-0.004666142747616675,0.09935596358098664,-0.020617326367893263,-0.09180919939314958,-0.08391742292309523,0.06625072546815503
2011-11-17,-0.11446374692401129,0.009682824133656176,0.01289727133909846,-0.021060366486454374,-0.007764014156220966,-0.008444718699937681,-0.019187662637266456,-0.010400473728589432,0.05051579013690155,-0.03019655425884249,-0.010989629153171698,-0.07980191929226699,0.05420037605681838
2011-11-28,0.010707403201742238,-0.01130971310893969,-0.016492873243087125,-0.017141877596231314,0.01393391141521505,-0.007948759800516902,-0.00036050689335898056,-0.002106603548325481,-0.023986389827481247,-0.015283108400699241,-0.10886711994586129,-0.2395825602496533,-0.09049914961526273
2011-12-06,-0.061657168480770075,0.067714666233468,0.06421361579293539,0.03247806160656408,-0.0016710589401816023,-0.0028841551798629572,0.05159152884596274,0.050167105225700226,-0.08546972237062489,0.01892903701233095,-0.1313086946148454,-0.21318736076384948,-0.12042431808268272
2011-12-13,0.011073631998367084,0.0029773587121129097,-0.009320848081079802,0.003889879601840729,0.0016710589401816023,-0.0033431945758931603,-0.02636011253164572,-0.016195287240677203,-0.10169382516969305,-0.061657168480770075,-0.04728274484854467,-0.1678974967823743,-0.29186977588226704
2011-12-20,-0.04843686758338972,0.00754781677759464,-0.0206671334658326,0.010426697048586231,-0.0012851820301262862,0.009358442763963692,0.012622632664569089,0.012356694533936619,-0.090128821062327,0.011073631998367084,-0.03165449947007204,-0.17303757407307874,-0.2305671693391984
2011-12-28,0.02116722683171446,0.014692393630975964,-0.01750954258927262,-0.008100320733463118,-0.00025644313514039396,-0.01296635407399438,0.004748621237501638,0.0036002949131610507,0.09305931354494046,-0.04843686758338972,-0.09902040406579271,-0.2303290986806381,-0.19806899856009874
2012-01-05,-0.009503991696188763,0.029739417639534693,0.0036346638597422043,0.06956034746950257,-0.006843593111677926,0.006090863124838142,0.01418218166948293,0.01041675242441542,-0.05303758228837907,0.02116722683171446,-0.016196008753308178,-0.06347875360185284,-0.2642119262370244
2012-01-13,0.0420900967508695,-0.03926748089802068,-0.018690372984950798,0.00496803728624462,-0.002078462686412763,-0.008460287349391249,0.008788867980408455,0.00501494474883124,0.013481186357382047,-0.023212423293291984,0.023075503094108996,-0.07486430302414604,-0.31253600983796037
